"customer_id","recency","frequency","monetary","r_score","f_score","m_score","total_score","costumer_segment"
"18074","373","1","489.60",1,1,2,4,"Lost costumer"
"17968","373","1","277.35",1,1,1,3,"Lost costumer"
"14729","373","1","313.49",1,2,2,5,"Lost costumer"
"12791","373","1","192.60",1,1,1,3,"Lost costumer"
"16583","373","1","233.45",1,1,1,3,"Lost costumer"
"13747","373","1","79.60",1,1,1,3,"Lost costumer"
"17908","373","1","243.28",1,1,1,3,"Lost costumer"
"15922","372","1","369.50",1,2,2,5,"Lost costumer"
"17925","372","1","244.08",1,1,1,3,"Lost costumer"
"14142","372","1","311.81",1,2,2,5,"Lost costumer"
"15070","372","1","106.20",1,1,1,3,"Lost costumer"
"14237","372","1","161.00",1,1,1,3,"Lost costumer"
"17732","372","1","303.97",1,1,1,3,"Lost costumer"
"15363","372","1","326.00",1,2,2,5,"Lost costumer"
"18011","372","1","102.79",1,1,1,3,"Lost costumer"
"17643","372","1","101.55",1,1,1,3,"Lost costumer"
"16048","372","2","256.44",1,2,1,4,"Lost costumer"
"13108","372","1","350.06",1,2,2,5,"Lost costumer"
"16274","372","1","357.95",1,2,2,5,"Lost costumer"
"15165","372","1","487.75",1,1,2,4,"Lost costumer"
"17855","372","1","208.97",1,1,1,3,"Lost costumer"
"12855","372","1","38.10",1,1,1,3,"Lost costumer"
"15350","372","1","115.65",1,2,1,4,"Lost costumer"
"15923","372","1","127.08",1,1,1,3,"Lost costumer"
"16752","372","1","207.50",1,1,1,3,"Lost costumer"
"13065","372","1","205.86",1,1,1,3,"Lost costumer"
"14576","371","1","35.40",1,2,1,4,"Lost costumer"
"14589","371","1","39.75",1,1,1,3,"Lost costumer"
"12738","371","1","155.35",1,1,1,3,"Lost costumer"
"17976","371","1","353.19",1,2,2,5,"Lost costumer"
"16754","371","1","2002.40",1,1,4,6,"Lost costumer"
"17967","371","1","123.07",1,2,1,4,"Lost costumer"
"15823","371","1","15",1,1,1,3,"Lost costumer"
"16781","371","1","311.25",1,2,2,5,"Lost costumer"
"16510","371","1","248.10",1,1,1,3,"Lost costumer"
"13370","371","1","754.87",1,1,3,5,"Lost costumer"
"13011","371","1","50.55",1,1,1,3,"Lost costumer"
"12686","371","1","89.14",1,1,1,3,"Lost costumer"
"17850","371","34","5391.21",1,4,4,9,"Lost costumer"
"16926","370","1","230.25",1,1,1,3,"Lost costumer"
"12725","370","1","427.80",1,1,2,4,"Lost costumer"
"14813","369","2","155.43",1,2,1,4,"Lost costumer"
"16718","368","1","623.75",1,1,2,4,"Lost costumer"
"15899","368","1","56.25",1,1,1,3,"Lost costumer"
"18113","368","1","76.32",1,1,1,3,"Lost costumer"
"15880","368","1","343.28",1,2,2,5,"Lost costumer"
"16858","368","1","375.69",1,2,2,5,"Lost costumer"
"17860","368","1","252.80",1,1,1,3,"Lost costumer"
"16658","367","1","123.24",1,2,1,4,"Lost costumer"
"18119","367","1","181.12",1,1,1,3,"Lost costumer"
"13786","366","1","230.40",1,1,1,3,"Lost costumer"
"14821","366","1","48.80",1,1,1,3,"Lost costumer"
"16893","366","1","145.93",1,1,1,3,"Lost costumer"
"15180","366","1","87.50",1,1,1,3,"Lost costumer"
"12441","366","1","173.55",1,1,1,3,"Lost costumer"
"13807","366","1","112.60",1,2,1,4,"Lost costumer"
"16125","366","1","289.35",1,1,1,3,"Lost costumer"
"15973","366","1","307.82",1,2,2,5,"Lost costumer"
"15332","365","4","1661.06",1,3,3,7,"Lost costumer"
"12797","365","1","254.03",1,1,1,3,"Lost costumer"
"18269","365","1","168.60",1,1,1,3,"Lost costumer"
"14437","365","1","63.00",1,1,1,3,"Lost costumer"
"16679","365","1","129.75",1,1,1,3,"Lost costumer"
